player,surface,aces,dfs,first_in,serve_pts
Aaro Pollanen,Clay,8.0,10.0,48.0,89.0
Aaron Addison,Hard,5.625,5.0,36.6875,70.0
Aaron Cohen,Clay,0.0,2.0,49.0,65.0
Aaron Cohen,Hard,2.0,4.0,56.0,87.0
Aaron James Williams,Clay,3.0,9.0,66.0,119.0
Aaron Krickstein,Carpet,3.9375,1.71875,41.5625,69.59375
Aaron Krickstein,Clay,3.1914893617021276,2.0851063829787235,45.851063829787236,79.46808510638297
Aaron Krickstein,Grass,6.866666666666666,4.2,73.33333333333333,121.93333333333334
Aaron Krickstein,Hard,4.431654676258993,2.237410071942446,49.05035971223022,83.93525179856115
Aaron Yovan,Hard,7.0,5.0,36.0,59.0
Abd Hazli Bin Zainuddin,Hard,1.0,4.0,22.0,45.0
Abdelkader Benabdellah,Clay,0.0,6.0,23.0,45.0
Abdul Hamid Makhkamov,Hard,4.0,6.0,34.0,66.0
Abdulhamid Mubarak,Clay,0.0,2.0,58.0,88.0
Abdulla Al Jufairi,Hard,1.0,4.0,15.0,30.0
Abdulla Al Mohamoud,Hard,2.0,8.0,11.0,33.0
Abdulla Hajji,Hard,0.0,2.0,27.666666666666668,43.0
Abdullah Maqdas,Clay,0.0,2.0,36.0,59.0
Abdullah Maqdas,Hard,1.4285714285714286,1.4285714285714286,65.71428571428571,88.71428571428571
Abdullah Shannan Alharrasi,Hard,1.0,6.5,20.5,43.0
Abdulrahman Al Harib,Hard,0.3333333333333333,3.3333333333333335,27.0,42.666666666666664
Abdulrahman Al Janahi,Hard,1.0,1.0,39.0,59.0
Abdulrahman Alawadhi,Clay,1.0,6.0,42.0,75.0
Abduvoris Saitmukhamedov,Clay,1.0,3.0,23.0,39.0
Abduvoris Saitmukhamedov,Hard,2.0,1.0,12.0,18.0
Abedallah Shelbayh,Clay,2.076923076923077,3.6923076923076925,42.84615384615385,71.8974358974359
Abedallah Shelbayh,Grass,4.8,4.0,43.0,74.5
Abedallah Shelbayh,Hard,4.752808988764045,3.595505617977528,42.46067415730337,72.32584269662921
Abel Hernandez Aguila,Clay,1.3333333333333333,2.3333333333333335,34.0,55.333333333333336
Abhijeet Tiwari,Hard,1.0,0.0,29.0,49.0
Abhinav Sanjeev Shanmugam,Hard,6.105263157894737,3.6315789473684212,30.789473684210527,65.26315789473684
Abraham Asaba,Clay,3.3333333333333335,13.0,43.333333333333336,82.33333333333333
Abraham Asaba,Hard,2.0,9.0,26.0,46.0
Abraham Gonzalez Jimenez,Hard,0.0,4.0,67.0,104.0
Abraham Souza,Hard,2.0,0.0,34.0,47.0
Abror Isakov,Hard,0.75,1.75,61.0,84.75
Ace Matias,Hard,0.0,1.0,37.0,48.0
Adam Bronka,Clay,0.0,6.0,36.0,63.0
Adam Chadaj,Clay,1.0,5.0,44.333333333333336,74.66666666666667
Adam Chadaj,Hard,0.0,5.0,23.0,45.0
Adam El Mihdawy,Clay,3.05,6.3,27.55,57.45
Adam El Mihdawy,Hard,4.0,4.88,34.6,65.96
Adam Farag Cao,Hard,15.0,8.0,56.0,108.0
Adam Feeney,Clay,5.0,9.0,63.0,96.0
Adam Feeney,Grass,7.0,8.0,50.0,74.0
Adam Feeney,Hard,2.096774193548387,5.903225806451613,46.32258064516129,72.35483870967742
Adam Gustavsson,Clay,0.0,5.0,42.0,76.0
Adam Hornby,Clay,1.0,4.0,28.0,42.5
Adam Hornby,Hard,2.0,7.0,53.0,82.0
Adam Hubble,Hard,4.0,2.0,41.0,71.0
Adam Jones,Grass,4.0,3.0,35.0,60.0
Adam Jurajda,Clay,5.333333333333333,6.0,37.0,78.66666666666667
Adam Kellner,Clay,2.111111111111111,3.0555555555555554,38.27777777777778,66.22222222222223
Adam Kellner,Hard,2.6666666666666665,4.666666666666667,29.666666666666668,52.333333333333336
Adam Kennedy,Grass,4.0,6.0,41.0,69.0
Adam Kennedy,Hard,7.5,5.0,43.0,70.5
Adam Lee,Hard,2.3333333333333335,6.0,44.0,68.33333333333333
Adam Majchrowicz,Clay,1.3333333333333333,3.0,29.666666666666668,53.5
Adam Majchrowicz,Hard,11.0,2.5,41.5,63.0
Adam Malik,Carpet,7.0,2.75,46.0,78.0
Adam Malik,Hard,3.0,4.0,45.0,82.0
Adam Moundir,Clay,1.0,3.5,32.5,62.5
Adam Moundir,Hard,4.0,1.0,26.0,47.0
Adam Nagoudi,Clay,1.0,6.0,32.0,64.0
Adam Neff,Clay,7.0,3.0,29.0,56.0
Adam Neff,Hard,8.76923076923077,5.384615384615385,37.53846153846154,73.61538461538461
Adam Pavlasek,Clay,3.891089108910891,2.4603960396039604,44.46534653465346,74.11386138613861
Adam Pavlasek,Grass,9.5,4.5,57.5,93.5
Adam Pavlasek,Hard,6.720588235294118,2.2205882352941178,43.80882352941177,69.70588235294117
Adam Peterson,Hard,0.0,0.0,28.0,40.0
Adam Sanjurjo Hermida,Clay,0.0,2.3333333333333335,34.333333333333336,50.0
Adam Taylor,Clay,0.6666666666666666,3.0,27.666666666666668,46.333333333333336
Adam Taylor,Hard,3.857142857142857,3.0,37.714285714285715,62.0
Adam Thompson,Hard,4.0,7.5,24.0,51.5
Adam Thornton Brown,Grass,3.0,5.0,27.0,52.0
Adam Vejmelka,Clay,3.0,2.0,70.0,96.0
Adam Walton,Clay,5.0,4.666666666666667,51.666666666666664,88.0
Adam Walton,Grass,6.111111111111111,2.111111111111111,52.333333333333336,78.55555555555556
Adam Walton,Hard,5.36551724137931,2.220689655172414,43.179310344827584,68.82068965517242
Adelchi Virgili,Clay,3.5238095238095237,5.071428571428571,40.166666666666664,72.97619047619048
Adelchi Virgili,Hard,3.3333333333333335,5.333333333333333,36.333333333333336,57.333333333333336
Adhithya Ganesan,Grass,2.0,1.0,30.0,50.0
Adil Kalyanpur,Hard,1.6,4.3,39.9,67.5
Adil Karimov,Hard,4.0,7.0,42.0,81.0
Adil Shamasdin,Hard,5.0,3.0,25.0,45.0
Adirek Kundarnpinitvon,Hard,2.0,1.0,33.0,47.0
Adit Sinha,Hard,5.0,5.333333333333333,52.666666666666664,92.0
Aditya Deswal,Hard,2.5,4.5,38.5,64.5
Aditya Hari Sasongko,Clay,3.0,3.0,53.0,79.0
Aditya Hari Sasongko,Hard,5.5,7.5,75.5,107.5
Aditya Vishal Balsekar,Hard,1.0,1.0,26.0,52.5
Admir Kalender,Clay,2.0,3.75,33.25,64.5
Adnan Al Mahmoud,Hard,0.0,3.0,36.0,44.0
Adolf Musil,Carpet,3.0,1.0,35.0,67.0
Adolfo Daniel Vallejo,Clay,1.5614035087719298,3.280701754385965,44.578947368421055,70.66666666666667
Adolfo Daniel Vallejo,Hard,1.8421052631578947,3.0,38.31578947368421,63.73684210526316
Adria Soriano Barrera,Clay,7.3076923076923075,4.6923076923076925,44.15384615384615,77.15384615384616
Adria Soriano Barrera,Hard,6.59375,2.5625,36.90625,62.5
Adrian Andreev,Carpet,11.0,2.0,56.0,82.0
Adrian Andreev,Clay,2.330769230769231,1.8615384615384616,43.37692307692308,68.6923076923077
Adrian Andreev,Grass,5.0,2.0,64.5,99.0
Adrian Andreev,Hard,3.247422680412371,2.381443298969072,48.45360824742268,75.94845360824742
Adrian Andrzejczuk,Clay,2.4,5.6,36.8,59.0
Adrian Andrzejczuk,Hard,7.0,7.0,69.0,102.0
Adrian Bodmer,Clay,4.3,2.4,39.9,69.5
Adrian Bodmer,Hard,5.6,3.1,41.7,77.6
Adrian Bohane,Hard,1.0,3.0,38.0,71.0
Adrian Cruciat,Clay,3.2,1.8,39.4,60.3
Adrian Fernandez,Hard,2.0,2.0,21.0,41.0
Adrian Garcia,Clay,2.3142857142857145,2.342857142857143,41.65714285714286,65.68571428571428
Adrian Garcia,Grass,2.0,7.5,47.5,85.5
Adrian Garcia,Hard,3.5384615384615383,3.0,38.15384615384615,66.92307692307692
Adrian Mannarino,Carpet,2.0,4.0,49.0,90.0
Adrian Mannarino,Clay,2.656,2.28,45.824,76.608
Adrian Mannarino,Grass,5.034965034965035,2.6503496503496504,48.66433566433567,77.93006993006993
Adrian Mannarino,Hard,5.064814814814815,2.388888888888889,44.07098765432099,73.55246913580247
Adrian Marin Dancescu,Clay,2.0,5.5,44.5,72.5
Adrian Menendez Maceiras,Clay,3.6507936507936507,2.201058201058201,43.17989417989418,72.76719576719577
Adrian Menendez Maceiras,Grass,4.75,3.05,51.2,79.7
Adrian Menendez Maceiras,Hard,4.663461538461538,1.8774038461538463,44.37980769230769,72.32692307692308
Adrian Obert,Clay,0.0,5.0,33.0,53.0
Adrian Obert,Hard,3.0,5.0,37.0,67.0
Adrian Oetzbach,Clay,2.7058823529411766,5.823529411764706,45.35294117647059,77.47058823529412
Adrian Oetzbach,Hard,6.0,3.6666666666666665,55.0,92.0
Adrian Sikora,Carpet,0.0,0.0,24.0,38.0
Adrian Sikora,Clay,1.7272727272727273,2.4545454545454546,43.84848484848485,71.6969696969697
Adrian Sikora,Hard,2.2222222222222223,2.7037037037037037,44.629629629629626,72.66666666666667
Adrian Ungur,Carpet,7.75,3.25,31.5,58.75
Adrian Ungur,Clay,2.2375690607734806,2.867403314917127,41.232044198895025,68.32044198895028
Adrian Ungur,Grass,4.0,4.75,47.75,83.5
Adrian Ungur,Hard,3.5166666666666666,3.3,44.65,74.63333333333334
Adrian Voinea,Carpet,6.576923076923077,2.923076923076923,41.15384615384615,72.0
Adrian Voinea,Clay,4.2086330935251794,2.971223021582734,43.726618705035975,77.87050359712231
Adrian Voinea,Grass,7.166666666666667,5.0,55.611111111111114,94.5
Adrian Voinea,Hard,6.481481481481482,3.287037037037037,46.907407407407405,81.94444444444444
Adriano Quinti,Clay,2.0,3.0,18.0,39.0
Adrien Bossel,Carpet,8.0,1.5,39.0,69.0
Adrien Bossel,Clay,5.65,2.9,38.6,70.05
Adrien Bossel,Grass,6.64,3.72,45.64,79.44
Adrien Bossel,Hard,6.49438202247191,3.741573033707865,40.235955056179776,72.80898876404494
Adrien Gobat,Hard,2.888888888888889,3.5555555555555554,39.55555555555556,73.66666666666667
Adrien Puget,Clay,5.571428571428571,4.571428571428571,41.857142857142854,74.85714285714286
Adrien Puget,Hard,4.0,8.0,54.0,114.0
Agustin Boje Ordonez,Clay,1.4444444444444444,1.7777777777777777,49.77777777777778,68.66666666666667
Agustin Boje Ordonez,Hard,2.0,1.3333333333333333,62.0,85.66666666666667
Agustin Calleri,Carpet,6.909090909090909,1.9090909090909092,37.81818181818182,64.0
Agustin Calleri,Clay,6.226851851851852,2.8564814814814814,39.898148148148145,72.07407407407408
Agustin Calleri,Grass,8.714285714285714,5.142857142857143,69.35714285714286,118.0
Agustin Calleri,Hard,7.9,4.242857142857143,44.67857142857143,81.82857142857142
Agustin Eduardo Cuellar Lorberg,Clay,0.0,4.0,30.0,42.0
Agustin Garizzio,Clay,1.5,7.0,60.0,109.5
Agustin Mastri,Clay,0.0,1.0,33.0,50.0
Agustin Moreno,Clay,1.6,6.0,31.8,58.0
Agustin Moreno,Hard,5.0,5.666666666666667,42.333333333333336,77.33333333333333
Agustin Picco,Clay,0.0,2.0,20.0,41.0
Agustin Suarez Gonzalez,Clay,0.0,2.0,37.0,57.0
Agustin Velotti,Clay,3.2117117117117115,2.3513513513513513,38.247747747747745,70.27027027027027
Agustin Velotti,Hard,4.688888888888889,2.566666666666667,38.56666666666667,70.77777777777777
Ahmed Abdrabuh,Hard,0.0,5.0,11.0,28.0
Ahmed Deedat Abdul Razak,Hard,2.0,2.3333333333333335,25.0,44.333333333333336
Ahmed El Tabakh,Hard,1.0,1.0,25.0,48.0
Aidan Kim,Clay,0.0,9.0,37.0,83.0
Aidan Kim,Hard,5.333333333333333,4.333333333333333,51.0,84.66666666666667
Aidan Mayo,Clay,3.388888888888889,4.555555555555555,40.44444444444444,72.11111111111111
Aidan Mayo,Grass,3.0,4.0,40.5,64.5
Aidan Mayo,Hard,4.745283018867925,3.7264150943396226,41.91509433962264,73.44339622641509
Aidan Mchugh,Clay,2.0,3.0,35.5,53.5
Aidan Mchugh,Grass,3.5,2.0625,49.375,71.75
Aidan Mchugh,Hard,4.3478260869565215,2.3369565217391304,50.21739130434783,77.17391304347827
Ainius Sabaliauskas,Hard,1.5,4.5,29.0,49.0
Aisam Ul Haq Qureshi,Clay,6.0,5.0,40.0,63.0
Aisam Ul Haq Qureshi,Grass,11.818181818181818,5.409090909090909,50.63636363636363,82.77272727272727
Aisam Ul Haq Qureshi,Hard,10.909090909090908,3.4545454545454546,45.72727272727273,73.54545454545455
Aitor Aramburu,Clay,1.0,3.0,31.0,41.0
Aitor Aramburu,Hard,0.0,4.5,33.75,50.5
Aj Catanzariti,Hard,2.0,1.0,63.0,83.0
Ajai Selvaraj,Hard,1.0,2.3333333333333335,21.666666666666668,47.666666666666664
Ajeet Rai,Clay,5.166666666666667,4.166666666666667,41.166666666666664,72.5
Ajeet Rai,Hard,6.34,3.14,44.52,74.92
Akanit Pumjit,Hard,3.0,5.0,30.0,61.0
Akash Wagh,Hard,4.666666666666667,2.3333333333333335,32.333333333333336,56.0
Aki Rahunen,Carpet,2.5,5.5,43.666666666666664,78.5
Aki Rahunen,Clay,0.6666666666666666,2.111111111111111,38.55555555555556,60.77777777777778
Aki Rahunen,Grass,0.0,4.0,43.0,84.0
Aki Rahunen,Hard,0.8888888888888888,3.4444444444444446,43.888888888888886,76.88888888888889
Akira Santillan,Carpet,9.0,14.0,48.0,86.0
Akira Santillan,Clay,3.9876543209876543,4.1234567901234565,44.69135802469136,74.12345679012346
Akira Santillan,Grass,6.266666666666667,1.9333333333333333,46.333333333333336,71.13333333333334
Akira Santillan,Hard,6.056603773584905,3.707547169811321,42.0,71.10849056603773
Akram El Sallaly,Clay,3.25,5.0,39.75,67.5
Akram El Sallaly,Hard,1.0,2.0,35.0,55.0
Alan Bojarski,Hard,0.0,3.0,32.0,51.0
Alan Fernando Rubio Fierros,Clay,2.4285714285714284,3.857142857142857,45.142857142857146,69.14285714285714
Alan Fernando Rubio Fierros,Hard,2.4545454545454546,3.1818181818181817,42.36363636363637,68.54545454545455
Alan Gadjiev,Hard,3.3333333333333335,6.666666666666667,37.0,64.0
Alan Kohen,Clay,1.0,8.0,35.0,66.0
Alan Kohen,Hard,0.0,4.0,44.5,79.0
Alan Mackin,Carpet,5.0,2.5,59.0,87.5
Alan Mackin,Clay,1.5,4.0,29.5,57.5
Alan Mackin,Grass,2.0,3.6666666666666665,72.5,105.83333333333333
Alan Mackin,Hard,1.0,9.0,58.0,95.0
Alan Magadan,Hard,2.6666666666666665,3.0,39.666666666666664,67.5
